lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
5784,6584;5784,6630;0,4660;0,0046;4178674687;698,9852;220,7625
5785,658;5785,7194;0,3745;0,0614;3398556212;-975,4135;3165,6090
5791,018;5790,9782;0,2406;-0,0398;2588990495;81,0785;-2078,1404
5791,5239;5791,5212;0,7783;-0,0027;1853563470;-630,9712;-156,3137
5793,9148;5793,9109;0,5613;-0,0039;4204316216;122,1010;-219,6447
5798,1714;5798,1752;0,4575;0,0038;3957141632;78,8438;178,7434
5804,035;5804,0177;0,4712;-0,0173;4208671762;222,3783;-912,6794
5804,4627;5804,4496;0,5023;-0,0131;4266364768;-518,9944;-695,5118
5805,7571;5805,7630;0,5892;0,0059;4333072288;58,5305;285,4264
5806,7249;5806,7157;0,5013;-0,0092;4247340107;-358,6878;-493,4414
5807,7838;5807,7774;0,6404;-0,0064;3583246073;276,0009;-346,0639
5809,1553;5809,2078;0,4160;0,0525;3959065161;-58,6374;2693,5892
5811,9145;5811,9062;0,7119;-0,0083;3077879759;341,4500;-446,7553
5814,0081;5813,9465;0,4090;-0,0616;4756165343;35,6704;-3191,1464
5817,0765;5817,0697;0,5706;-0,0068;3087048976;-347,9670;-366,4930
5827,8771;5827,8681;0,5760;-0,0090;4072340290;33,2669;-479,6875
5835,1008;5835,0936;0,6718;-0,0072;3659663180;724,4118;-388,4436
5835,5735;5835,5600;0,6456;-0,0135;3629398554;-604,0150;-712,8055
5837,7012;5837,6911;0,7159;-0,0101;2751151211;-58,5091;-535,9064
5838,3718;5838,3668;0,6016;-0,0050;4088097738;366,2249;-274,5434
5845,2869;5845,2830;0,8227;-0,0039;1607747808;598,3087;-215,7162
5848,0665;5848,0913;0,4812;0,0248;2988522160;254,2867;1252,9097
5849,684;5849,6740;0,6676;-0,0100;2637296328;-5,9451;-529,3312
5853,1483;5853,1487;0,4062;0,0004;4931274993;170,4525;4,9904
5853,6826;5853,6786;0,2690;-0,0040;3040506827;780,4402;-221,5403
5855,0766;5855,0736;0,6608;-0,0030;2680886535;563,2501;-168,8238
5856,088;5856,0844;0,5618;-0,0036;3673938362;311,7523;-202,2514
5858,2654;5858,2600;0,6037;-0,0054;3708968307;-180,6094;-295,4101
5858,778;5858,7733;0,6845;-0,0047;3047815276;-258,7469;-255,1421
5859,5867;5859,5848;0,4440;-0,0019;3856426813;87,6331;-115,7538
5861,1096;5861,1047;0,7196;-0,0049;2379429394;-14,1921;-268,7794
5862,3565;5862,3578;0,4074;0,0013;4000989556;439,9350;49,2463
5876,2782;5876,2724;0,7740;-0,0058;1648070920;988,0221;-312,7089
5880,0272;5880,0258;0,6959;-0,0014;1998960052;913,8927;-86,5982
5881,2801;5881,2833;0,6129;0,0032;2612983362;-513,7539;147,5073
5883,817;5883,8158;0,4003;-0,0012;4697943882;267,0845;-76,6934
5891,8786;5891,8417;0,6062;-0,0369;3272518725;-46,9017;-1892,8859
5892,4652;5892,4743;0,6805;0,0091;2276540308;-955,4863;443,8448
5898,2153;5898,2062;0,6928;-0,0091;2535595298;-401,9232;-477,9596
5902,4736;5902,4708;0,7103;-0,0028;2089117609;464,3964;-159,7232
5905,672;5905,6685;0,5295;-0,0035;3130220654;297,8685;-192,9525
5906,843;5906,8200;0,6850;-0,0230;2718996396;-188,3301;-1184,3742
5907,8634;5907,8628;0,6874;-0,0006;2277758515;95,9932;-47,2588
5916,2474;5916,2491;0,3153;0,0017;4260239573;190,0633;71,1664
5927,7891;5927,7726;0,5269;-0,0165;2727489943;906,9397;-849,9679
5929,6772;5929,6724;0,5856;-0,0048;3830264521;110,1526;-261,6938
5930,1799;5930,1830;0,4315;0,0031;3541620254;561,0838;138,8962
5934,6549;5934,6548;0,3753;-0,0001;4497521916;251,6179;-23,9089
5943,5784;5943,5804;0,4966;0,0020;4605307429;389,8880;86,2927
